"date","max.temp","min.temp","dwpt","month","year","day","dow","weekend","holiday","CO","O3","SO2","PM10","PM25","NO2","number.deaths","HI.max"
"1999-07-28",90.0876058188082,65.3041720905426,57.8121022141383,7,1999,28,3,0,0,0.843842053724643,0.0573337991583657,4.78705968492836,40,9.21910030200765,34.481142430869,24,90
"1999-07-29",90.2027735530459,62.1077301311243,60.640743811124,7,1999,29,4,0,0,1.0895520230688,0.0742800908169513,13.4715646568041,29.0850844183086,16.4469834386884,28.419327742293,21,90
"1999-07-30",89.3212606422489,65.990470109411,69.8307446060579,7,1999,30,5,0,0,0.850044243692193,0.0613231133813684,8.26156697934186,40,21.1196029961423,17.1426105707307,30,87
"1999-07-31",86.0158895329513,69.4330438671227,69.8294766694159,7,1999,31,6,1,0,0.605985538855059,0.0511415441345849,7.36946734332654,25,17.3731011215798,13.1246930256233,32,84
"1999-08-01",92.0002692253809,72.8469343928352,70.9293323813452,8,1999,1,0,1,0,0.617821425664852,0.0595444218976783,5.96711322081225,26,21.384022844856,35.4806074828707,26,94
"1999-08-02",89.3738809898537,67.8229771227964,55.8650044459008,8,1999,2,1,0,0,0.747184177500595,0.0413559309845735,10.2250494698744,29,10.5439715539746,15.633324566538,29,89
"1999-08-03",82.9744798206249,62.5085041589533,55.1856219409129,8,1999,3,2,0,0,0.742071534611042,0.0407915672909459,13.1435584933899,27,6.82523252172006,29.4425326010563,26,82
"1999-08-04",83.8612790032076,58.9607600885834,62.0554381050467,8,1999,4,3,0,0,0.65338770050472,0.0433438705104315,11.6251220283703,21.5920135099355,8.07423332116919,33.2247606528291,23,85
"1999-08-05",83.2169247784333,58.4723536120959,61.7936020021014,8,1999,5,4,0,0,0.853023739052881,0.0446807576388686,6.20800817034227,51,10.6657973058077,30.3917722013504,34,80
"1999-08-06",84.67640893246,61.6228107330196,58.6284389942269,8,1999,6,5,0,0,0.726859432873609,0.0628026862388624,4.94303148450163,34,14.2508370003192,25.7463364651141,29,85
"1999-08-07",82.5701490726777,60.3718158624619,55.2169856318508,8,1999,7,6,1,0,0.537081043101752,0.0530409201120125,8.71543992649736,18.3096937494203,7.68633606413618,49.3202617997363,26,82
"1999-08-08",81.5837104614642,62.1119503275312,65.5549192674523,8,1999,8,0,1,0,0.556583315553794,0.0620428817765241,6.09898795381281,34,20.8333216599084,21.4207748488555,27,82
"1999-08-09",78.2833774835572,61.0396469132417,53.3615915675892,8,1999,9,1,0,0,0.540742904785002,0.0289965276319837,6.15281640976769,20,6.50919661648211,46.9469096308125,22,80
"1999-08-10",77.3505921571123,51.1552793965079,45.5527579436919,8,1999,10,2,0,0,0.615880779133013,0.0370326727919289,11.4481637605619,14.5817253774484,3.9561075892658,27.9612522816646,25,73
"1999-08-11",75.4983780300585,57.1483409392233,59.4822929277959,8,1999,11,3,0,0,0.720853888339868,0.0516838102415413,6.45271639178433,22.6955099990724,9.77769532340909,37.701816484853,22,75
"1999-08-12",84.8938661892783,64.7507884620832,68.6000859733825,8,1999,12,4,0,0,1.03994359732841,0.0587290621799446,10.2489951087059,54,22.8048847636051,37.1898599849081,24,85
"1999-08-13",84.0442223230312,67.0655598553014,71.7321568307707,8,1999,13,5,0,0,0.654353172398973,0.0375290050373758,4.47280522732935,36,16.8792245273813,23.9319029538023,30,84
"1999-08-14",82.122722498652,68.8870845656685,72.0148826227786,8,1999,14,6,1,0,0.508996314606469,0.0507941604252073,4.93823435275547,23,11.3109212714499,12.9974464778205,16,80
"1999-08-15",74.9687971217864,62.7062066730777,66.3780726357485,8,1999,15,0,1,0,0.866851797645136,0.029080684897857,5.29827489285653,9,8.29005308137631,13.3141452894366,19,77
